Chromosome	Source	Feature	Start	End	Attributes
NC_003279.8	GetRepeats	repeat_region	1	430	ID=Repeat_1
NC_003279.8	GetRepeats	repeat_copy	1	400	Parent=Repeat_1;Copy=1
NC_003279.8	GetRepeats	repeat_copy	31	430	Parent=Repeat_1;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	410	ID=Repeat_2
NC_003279.8	GetRepeats	repeat_copy	1	350	Parent=Repeat_2;Copy=1
NC_003279.8	GetRepeats	repeat_copy	61	410	Parent=Repeat_2;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	415	ID=Repeat_3
NC_003279.8	GetRepeats	repeat_copy	1	325	Parent=Repeat_3;Copy=1
NC_003279.8	GetRepeats	repeat_copy	91	415	Parent=Repeat_3;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	420	ID=Repeat_4
NC_003279.8	GetRepeats	repeat_copy	1	300	Parent=Repeat_4;Copy=1
NC_003279.8	GetRepeats	repeat_copy	121	420	Parent=Repeat_4;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	425	ID=Repeat_5
NC_003279.8	GetRepeats	repeat_copy	1	275	Parent=Repeat_5;Copy=1
NC_003279.8	GetRepeats	repeat_copy	151	425	Parent=Repeat_5;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	430	ID=Repeat_6
NC_003279.8	GetRepeats	repeat_copy	1	250	Parent=Repeat_6;Copy=1
NC_003279.8	GetRepeats	repeat_copy	181	430	Parent=Repeat_6;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	410	ID=Repeat_7
NC_003279.8	GetRepeats	repeat_copy	1	200	Parent=Repeat_7;Copy=1
NC_003279.8	GetRepeats	repeat_copy	211	410	Parent=Repeat_7;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	415	ID=Repeat_8
NC_003279.8	GetRepeats	repeat_copy	1	175	Parent=Repeat_8;Copy=1
NC_003279.8	GetRepeats	repeat_copy	241	415	Parent=Repeat_8;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	420	ID=Repeat_9
NC_003279.8	GetRepeats	repeat_copy	1	150	Parent=Repeat_9;Copy=1
NC_003279.8	GetRepeats	repeat_copy	271	420	Parent=Repeat_9;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	425	ID=Repeat_10
NC_003279.8	GetRepeats	repeat_copy	1	125	Parent=Repeat_10;Copy=1
NC_003279.8	GetRepeats	repeat_copy	301	425	Parent=Repeat_10;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	430	ID=Repeat_11
NC_003279.8	GetRepeats	repeat_copy	1	100	Parent=Repeat_11;Copy=1
NC_003279.8	GetRepeats	repeat_copy	331	430	Parent=Repeat_11;Copy=2
NC_003279.8	GetRepeats	repeat_region	1	410	ID=Repeat_12
NC_003279.8	GetRepeats	repeat_copy	1	50	Parent=Repeat_12;Copy=1
NC_003279.8	GetRepeats	repeat_copy	361	410	Parent=Repeat_12;Copy=2
NC_003279.8	GetRepeats	repeat_region	601	845	ID=Repeat_13
NC_003279.8	GetRepeats	repeat_copy	601	725	Parent=Repeat_13;Copy=1
NC_003279.8	GetRepeats	repeat_copy	721	845	Parent=Repeat_13;Copy=2
NC_003279.8	GetRepeats	repeat_region	58026	58250	ID=Repeat_14
NC_003279.8	GetRepeats	repeat_copy	58026	58075	Parent=Repeat_14;Copy=1
NC_003279.8	GetRepeats	repeat_copy	58201	58250	Parent=Repeat_14;Copy=2
NC_003279.8	GetRepeats	repeat_region	58126	58330	ID=Repeat_15
NC_003279.8	GetRepeats	repeat_copy	58126	58175	Parent=Repeat_15;Copy=1
NC_003279.8	GetRepeats	repeat_copy	58281	58330	Parent=Repeat_15;Copy=2
NC_003279.8	GetRepeats	repeat_region	65226	67846	ID=Repeat_16
NC_003279.8	GetRepeats	repeat_copy	65226	65275	Parent=Repeat_16;Copy=1
