Chromosome,Start,End,Match_Start,Match_End
NC_003279.8,1,400,31,430
NC_003279.8,1,350,61,410
NC_003279.8,1,325,91,415
NC_003279.8,1,300,121,420
NC_003279.8,1,275,151,425
NC_003279.8,1,250,181,430
NC_003279.8,1,200,211,410
NC_003279.8,1,175,241,415
NC_003279.8,1,150,271,420
NC_003279.8,1,125,301,425
NC_003279.8,1,100,331,430
NC_003279.8,1,50,361,410
NC_003279.8,601,725,721,845
NC_003279.8,58026,58075,58201,58250
NC_003279.8,58126,58175,58281,58330
NC_003279.8,65226,65275,67797,67846
NC_003279.8,196926,197150,206102,206326
NC_003279.8,214926,214975,221064,221113
NC_003279.8,215026,215150,221163,221287
NC_003279.8,226776,226875,238544,238643
NC_003279.8,226951,227150,238718,238917
NC_003279.8,227151,227325,238925,239099
NC_003279.8,227351,227475,239119,239243
NC_003279.8,236776,236825,236950,236999
NC_003279.8,280526,280575,280677,280726
NC_003279.8,280526,280675,280827,280976
NC_003279.8,280526,280675,281092,281241
NC_003279.8,280526,280575,281281,281330
NC_003279.8,280526,280575,281356,281405
NC_003279.8,280551,280625,280589,280663
NC_003279.8,280551,280600,280627,280676
NC_003279.8,280551,280675,280890,281014
NC_003279.8,280551,280675,280928,281052
NC_003279.8,280551,280725,280966,281140
NC_003279.8,280551,280625,281004,281078
NC_003279.8,280551,280600,281042,281091
NC_003279.8,280551,280725,281155,281329
NC_003279.8,280551,280625,281193,281267
NC_003279.8,280551,280600,281231,281280
NC_003279.8,280576,280625,280689,280738
NC_003279.8,280576,280675,280839,280938
NC_003279.8,280576,280675,281104,281203
NC_003279.8,280576,280625,281368,281417
NC_003279.8,280626,280675,280851,280900
NC_003279.8,280626,280675,281116,281165
NC_003279.8,280651,280725,280801,280875
NC_003279.8,280676,280725,281355,281404
NC_003279.8,280751,280825,281317,281391
NC_003279.8,280776,280825,280813,280862
NC_003279.8,280776,280825,281078,281127
NC_003279.8,280776,280825,281267,281316
NC_003279.8,280801,281000,281066,281265
NC_003279.8,280801,280875,281255,281329
NC_003279.8,280826,280875,281355,281404
NC_003279.8,280851,281050,280889,281088
NC_003279.8,280851,281000,280927,281076
