Start,End,Match_Start,Match_End
15072276,15072300,15072396,15072420
15072276,15072325,15072366,15072415
15072276,15072350,15072336,15072410
15072276,15072375,15072306,15072405
15068876,15069175,15071968,15072267
15068726,15068850,15071819,15071943
15068651,15068700,15071745,15071794
15068601,15068625,15071695,15071719
15068551,15068575,15071645,15071669
15068501,15068525,15071595,15071619
15061676,15061975,15071965,15072264
15061526,15061650,15071816,15071940
15061451,15061500,15071742,15071791
15061401,15061425,15071692,15071716
15061301,15061325,15071592,15071616
15061226,15064150,15068423,15071347
15060826,15061200,15068022,15068396
15060301,15060800,15067497,15067996
15059951,15060075,15060128,15060252
15059901,15059925,15060076,15060100
15059776,15059875,15060127,15060226
15059776,15059875,15059950,15060049
15059751,15059775,15059926,15059950
15028726,15028750,15028811,15028835
14945626,14945650,14945652,14945676
14944676,14944700,14956677,14956701
14890851,14890900,14891460,14891509
14890576,14890825,14891185,14891434
14890501,14890550,14891110,14891159
14890326,14890475,14890935,14891084
14890251,14890300,14890860,14890909
14890001,14890300,14891219,14891518
14890001,14890225,14890610,14890834
14889926,14889950,14890535,14890559
14889726,14889875,14890335,14890484
14889651,14889675,14891478,14891502
14889651,14889700,14890260,14890309
14889376,14889625,14891203,14891452
14889376,14889875,14890594,14891093
14889376,14889625,14889985,14890234
14889326,14889350,14889935,14889959
14889276,14889325,14891103,14891152
14889276,14889325,14890494,14890543
14889126,14889250,14890953,14891077
14889126,14889300,14889735,14889909
14889026,14889075,14891462,14891511
14889026,14889250,14890244,14890468
14888776,14889000,14889994,14890218
14888751,14889000,14891187,14891436
14888751,14889100,14889360,14889709
14888701,14888725,14889919,14889943
14888676,14888725,14891112,14891161
14888676,14888725,14889285,14889334
14888501,14889100,14890328,14890927
14888501,14888650,14889110,14889259
14888426,14888475,14891471,14891520
14888426,14888475,14890253,14890302
14888176,14888400,14890003,14890227
14888151,14888400,14891196,14891445
14888151,14888650,14890587,14891086
14888151,14888475,14888760,14889084
14888101,14888150,14889928,14889977
14888076,14888100,14891121,14891145
14888076,14888125,14890512,14890561
14888076,14888125,14888685,14888734
14887901,14888025,14890946,14891070
14887901,14888075,14889728,14889902
14887901,14888050,14888510,14888659
14887826,14887850,14891480,14891504
14887826,14888050,14890262,14890486
14887551,14887800,14889987,14890236
14887551,14887875,14889378,14889702
14887551,14887875,14888160,14888484
14887526,14887800,14891180,14891454
14887451,14887500,14891105,14891154
14887451,14887475,14889887,14889911
14887451,14887500,14889278,14889327
14887451,14887500,14888060,14888109
14887301,14887875,14890346,14890920
14887301,14887425,14889128,14889252
